Id,Designation,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,?a min,?a max,Tan ?,?a,d/t,Wt
,139.7x4 CHS,-,13.4,139.7,139.7,4,4,,,,,,,,0.439,32.8,393,393,4.8,4.8,56.2,56.2,73.7,73.7,,,,786,17.1,,,,,,,,,,,,,,34.9,112
,139.7x4.5 CHS,-,15,139.7,139.7,4.5,4.5,,,,,,,,0.439,29.2,437,437,4.78,4.78,62.6,62.6,82.3,82.3,,,,874,19.1,,,,,,,,,,,,,,31,125
,139.7x5 CHS,-,16.6,139.7,139.7,5,5,,,,,,,,0.439,26.4,481,481,4.77,4.77,68.8,68.8,90.8,90.8,,,,961,21.2,,,,,,,,,,,,,,27.9,138
,139.7x5.6 CHS,-,18.5,139.7,139.7,5.6,5.6,,,,,,,,0.439,23.7,531,531,4.75,4.75,76.1,76.1,101,101,,,,1060,23.6,,,,,,,,,,,,,,24.9,152
,139.7x6.3 CHS,-,20.7,139.7,139.7,6.3,6.3,,,,,,,,0.439,21.2,589,589,4.72,4.72,84.3,84.3,112,112,,,,1180,26.4,,,,,,,,,,,,,,22.2,169
,139.7x8 CHS,-,26,139.7,139.7,8,8,,,,,,,,0.439,16.9,720,720,4.66,4.66,103,103,139,139,,,,1440,33.1,,,,,,,,,,,,,,17.5,206
,139.7x10 CHS,-,32,139.7,139.7,10,10,,,,,,,,0.439,13.7,862,862,4.6,4.6,123,123,169,169,,,,1720,40.7,,,,,,,,,,,,,,14,247
,139.7x12.5 CHS,-,39.2,139.7,139.7,12.5,12.5,,,,,,,,0.439,11.2,1020,1020,4.52,4.52,146,146,203,203,,,,2040,50,,,,,,,,,,,,,,11.2,292
,168.3x5 CHS,-,20.1,168.3,168.3,5,5,,,,,,,,0.529,26.3,856,856,5.78,5.78,102,102,133,133,,,,1710,25.7,,,,,,,,,,,,,,33.7,203
,168.3x5.6 CHS,-,22.5,168.3,168.3,5.6,5.6,,,,,,,,0.529,23.5,948,948,5.76,5.76,113,113,148,148,,,,1900,28.6,,,,,,,,,,,,,,30.1,225
,168.3x6.3 CHS,-,25.2,168.3,168.3,6.3,6.3,,,,,,,,0.529,21,1050,1050,5.73,5.73,125,125,165,165,,,,2110,32.1,,,,,,,,,,,,,,26.7,250
,168.3x8 CHS,-,31.6,168.3,168.3,8,8,,,,,,,,0.529,16.7,1300,1300,5.67,5.67,154,154,206,206,,,,2600,40.3,,,,,,,,,,,,,,21,308
,168.3x10 CHS,-,39,168.3,168.3,10,10,,,,,,,,0.529,13.5,1560,1560,5.61,5.61,186,186,251,251,,,,3130,49.7,,,,,,,,,,,,,,16.8,372
,168.3x12.5 CHS,-,48,168.3,168.3,12.5,12.5,,,,,,,,0.529,11,1870,1870,5.53,5.53,222,222,304,304,,,,3740,61.2,,,,,,,,,,,,,,13.5,444
,193.7x5 CHS,-,23.3,193.7,193.7,5,5,,,,,,,,0.609,26.2,1320,1320,6.67,6.67,136,136,178,178,,,,2640,29.6,,,,,,,,,,,,,,38.7,273
,193.7x5.6 CHS,-,26,193.7,193.7,5.6,5.6,,,,,,,,0.609,23.4,1470,1470,6.65,6.65,151,151,198,198,,,,2930,33.1,,,,,,,,,,,,,,34.6,303
,193.7x6.3 CHS,-,29.1,193.7,193.7,6.3,6.3,,,,,,,,0.609,20.9,1630,1630,6.63,6.63,168,168,221,221,,,,3260,37.1,,,,,,,,,,,,,,30.7,337
,193.7x8 CHS,-,36.6,193.7,193.7,8,8,,,,,,,,0.609,16.6,2020,2020,6.57,6.57,208,208,276,276,,,,4030,46.7,,,,,,,,,,,,,,24.2,416
,193.7x10 CHS,-,45.3,193.7,193.7,10,10,,,,,,,,0.609,13.5,2440,2440,6.5,6.5,252,252,338,338,,,,4880,57.7,,,,,,,,,,,,,,19.4,504
,193.7x12.5 CHS,-,55.9,193.7,193.7,12.5,12.5,,,,,,,,0.609,10.9,2930,2930,6.42,6.42,303,303,411,411,,,,5870,71.2,,,,,,,,,,,,,,15.5,606
,193.7x16 CHS,-,70.1,193.7,193.7,16,16,,,,,,,,0.609,8.71,3550,3550,6.31,6.31,367,367,507,507,,,,7110,89.3,,,,,,,,,,,,,,12.1,734
,219.1x4.5 CHS,-,23.8,219.1,219.1,4.5,4.5,,,,,,,,0.688,28.9,1750,1750,7.59,7.59,159,159,207,207,,,,3490,30.3,,,,,,,,,,,,,,48.7,319
,219.1x5 CHS,-,26.4,219.1,219.1,5,5,,,,,,,,0.688,26.1,1930,1930,7.57,7.57,176,176,229,229,,,,3860,33.6,,,,,,,,,,,,,,43.8,352
